Dia;Dia_mes;Mes;Dia_sem;Lluvia;Lluvia_SN;Fecha;T_MAX_ALERTA;T_MAX;T_MIN;Viento_MAX;Viento_MED;SO2;CO;NO;NO2;PM2.5_UMBRAL;PM2.5;PM10_UMBRAL;PM10;O3;TOL;BEN;EBE;TCH;NMCH;SO2_MAX;CO_MAX;NO_MAX;NO2_MAX;PM2.5_MAX;PM10_MAX;O3_MAX;TOL_MAX;BEN_MAX;EBE_MAX;TCH_MAX;O3_Nivel;Dia_sem_num;Mes2
1;1;ENE;J;0;No;01/01/2015;V;10.7;-0.6;14;5;14.1;0.94;1.375.416.667;9.529.166.667;Si;2.866.666.667;No;3.658.333.333;10.5;6.02;2.2;1.14;2.076.666.667;0.616666667;20;1.3;244;127;33;64;20;9.1;3.9;1.9;2.44;V;2;ENE
2;2;ENE;V;0;No;02/01/2015;V;12.5;-0.4;11;5;15.4;0.96;159.375;1.025.833.333;No;21;No;28.75;7.428.571.429;7.46;2.24;1.36;2.01;0.58;22;1.5;327;165;23;36;22;11.5;4;2.4;2.31;V;6;ENE
3;3;ENE;S;0;No;03/01/2015;V;11.7;1.4;14;8;13.7;0.84;1.322.083.333;90.125;No;19;No;2.391.666.667;8.071.428.571;6.95;1.95;1.116.666.667;2.053.333.333;0.566666667;20;1.5;301;143;22;30;24;12.8;3.6;2.1;2.43;V;5;ENE
4;4;ENE;D;0;No;04/01/2015;V;14.4;1.4;12;6;14.2;0.92;1.205.833.333;9.045.833.333;No;18;No;2.141.666.667;1.107.142.857;6.516.666.667;2.05;1.3;1.92;0.56;22;1.5;270;141;20;33;32;11.9;3.5;2.6;2.24;V;1;ENE
5;5;ENE;L;0;No;05/01/2015;V;12.3;2;19;9;12.4;0.8;1.192.083.333;8.441.666.667;No;1.833.333.333;No;2.316.666.667;9.714.285.714;6.266.666.667;1.816.666.667;1.133.333.333;1.983.333.333;0.566666667;18;1.1;248;123;22;31;25;9.9;3.1;2.4;2.31;V;3;ENE
6;6;ENE;M;0;No;06/01/2015;V;10;1.3;10;6;11.1;0.76;95;7.579.166.667;No;23;No;2.516.666.667;9.214.285.714;5.183.333.333;1.75;0.8;2.03;0.59;15;1;235;108;24;31;22;8.5;3.3;1.5;2.38;V;4;ENE
7;7;ENE;X;0;No;07/01/2015;V;11;1.1;15;8;12.8;0.84;1.243.333.333;9.179.166.667;No;19.5;No;2.516.666.667;1.057.142.857;6.583.333.333;1.916.666.667;1.2;1.836.666.667;0.516666667;19;1.1;287;136;20;33;29;10.7;3.7;2.5;2.07;V;7;ENE
8;8;ENE;J;0;No;08/01/2015;V;12.6;0.9;19;11;13;0.73;1.049.166.667;86.875;No;15.5;No;2.241.666.667;10.5;7.85;1.583.333.333;1.566.666.667;1.726.666.667;0.45;21;1.1;251;123;18;37;33;18.7;2.9;4.4;1.93;V;2;ENE
9;9;ENE;V;0;No;09/01/2015;V;13.8;2.1;15;6;15.4;0.99;1.591.666.667;102.875;No;16;No;26.75;8.571.428.571;1.153.333.333;2.266.666.667;2.066.666.667;1.8;0.496666667;25;1.3;310;162;18;36;21;26.3;4;4.3;2.02;V;6;ENE
10;10;ENE;S;0;No;10/01/2015;V;13;1.8;12;5;12.2;0.76;1.109.166.667;84;No;13.5;No;1.983.333.333;10;8.166.666.667;1.833.333.333;1.633.333.333;1.89;0.586666667;19;1.2;259;128;14;25;21;18.9;3.4;3.8;2.33;V;5;ENE
